title,country,genre,director,actors
1+1,Франция, драма,Оливье Накаш,"Франсуа Клюзе, Омар Си"
Интерстеллар,США, фантастика,Кристофер Нолан,"Мэттью Макконахи, Энн Хэтэуэй"
Побег из Шоушенка,США, драма,Фрэнк Дарабонт,"Тим Роббинс, Морган Фриман"
Зеленая миля,США, драма,Фрэнк Дарабонт,"Том Хэнкс, Дэвид Морс"
Остров проклятых,США, триллер,Мартин Скорсезе,"Леонардо ДиКаприо, Марк Руффало"
Бойцовский клуб,США, триллер,Дэвид Финчер,"Эдвард Нортон, Брэд Питт"
Форрест Гамп,США, драма,Роберт Земекис,"Том Хэнкс, Робин Райт"
Властелин колец: Возвращение короля,Новая Зеландия, фэнтези,Питер Джексон,"Элайджа Вуд, Вигго Мортенсен"
Унесённые призраками,Япония, аниме,Хаяо Миядзаки,"Руми Хиираги, Мию Ирино"
Властелин колец: Братство кольца,Новая Зеландия, фэнтези,Питер Джексон,"Элайджа Вуд, Иэн Маккеллен"
Джентльмены,США, криминал,Гай Ричи,"Мэттью Макконахи, Чарли Ханнэм"
Леон,Франция, боевик,Люк Бессон,"Жан Рено, Натали Портман"
Терминатор 2: Судный день,США, фантастика,Джеймс Кэмерон,"Арнольд Шварценеггер, Линда Хэмилтон"
Властелин колец: Две крепости,Новая Зеландия, фэнтези,Питер Джексон,"Элайджа Вуд, Иэн Маккеллен"
Начало,США, фантастика,Кристофер Нолан,"Леонардо ДиКаприо, Джозеф Гордон-Левитт"
Достучаться до небес,Германия, драма,Томас Ян,"Тиль Швайгер, Ян Йозеф Лиферс"
Зеленая книга,США, биография,Питер Фаррелли,"Вигго Мортенсен, Махершала Али"
Криминальное чтиво,США, криминал,Квентин Тарантино,"Джон Траволта, Сэмюэл Л. Джексон"
Гладиатор,США, история,Ридли Скотт,"Рассел Кроу, Хоакин Феникс"
Тайна Коко,США, мультфильм,Ли Анкрич,"Энтони Гонсалес, Гаэль Гарсиа Берналь"
Темный рыцарь,США, фантастика,Кристофер Нолан,"Кристиан Бэйл, Хит Леджер"
Список Шиндлера,США, драма,Стивен Спилберг,"Лиам Нисон, Бен Кингсли"
Иван Васильевич меняет профессию,СССР, комедия,Леонид Гайдай,"Александр Демьяненко, Юрий Яковлев"
Брат 2,Россия, боевик,Алексей Балабанов,"Сергей Бодров мл., Виктор Сухоруков"
Шрэк,США, мультфильм,Эндрю Адамсон,"Майк Майерс, Эдди Мерфи"
Брат,Россия, драма,Алексей Балабанов,"Сергей Бодров мл., Виктор Сухоруков"
Собачье сердце,СССР, драма,Владимир Бортко,"Евгений Евстигнеев, Владимир Толоконников"
Волк с Уолл-стрит,США, драма,Мартин Скорсезе,"Леонардо ДиКаприо, Джона Хилл"
Назад в будущее,США, фантастика,Роберт Земекис,"Майкл Дж. Фокс, Кристофер Ллойд"
Унесённые ветром,США, мелодрама,Виктор Флеминг,"Вивьен Ли, Кларк Гейбл"
Операция «Ы» и другие приключения Шурика,СССР, комедия,Леонид Гайдай,"Александр Демьяненко, Наталья Селезнёва"
Большой куш,Великобритания, криминал,Гай Ричи,"Джейсон Стэйтем, Стивен Грэм"
Дикий робот,США, мультфильм,Крис Сандерс,"Лупита Нионго, Педро Паскаль"
"Поймай меня, если сможешь",США, криминал,Стивен Спилберг,"Леонардо ДиКаприо, Том Хэнкс"
Гарри Поттер и философский камень,Великобритания, фэнтези,Крис Коламбус,"Дэниэл Рэдклифф, Руперт Гринт"
Девчата,СССР, мелодрама,Юрий Чулюкин,"Надежда Румянцева, Николай Рыбников"
Бриллиантовая рука,СССР, комедия,Леонид Гайдай,"Юрий Никулин, Андрей Миронов"
Хатико: Самый верный друг,США, драма,Лассе Халльстрём,"Ричард Гир, Джоан Аллен"
Одержимость,США, драма,Дэмьен Шазелл,"Майлз Теллер, Дж.К. Симмонс"
"Карты, деньги, два ствола",Великобритания, боевик,Гай Ричи,"Джейсон Флеминг, Декстер Флетчер"
Престиж,Великобритания, триллер,Кристофер Нолан,"Хью Джекман, Кристиан Бэйл"
Матрица,США, фантастика,Лана Вачовски,"Киану Ривз, Лоренс Фишбёрн"
Титаник,США, мелодрама,Джеймс Кэмерон,"Леонардо ДиКаприо, Кейт Уинслет"
Гарри Поттер и узник Азкабана,Великобритания, фэнтези,Альфонсо Куарон,"Дэниэл Рэдклифф, Руперт Гринт"
Пианист,Франция, драма,Роман Полански,"Эдриан Броуди, Эмилия Фокс"
Дюна: Часть вторая,США, фантастика,Дени Вильнёв,"Тимоти Шаламе, Зендея"
Джентльмены удачи,СССР, комедия,Александр Серый,"Евгений Леонов, Георгий Вицин"
Укрощение строптивого,Италия, мелодрама,Франко Кастеллано,"Адриано Челентано, Орнелла Мути"
Отступники,США, криминал,Мартин Скорсезе,"Леонардо ДиКаприо, Мэтт Дэймон"
Малышка на миллион,США, драма,Клинт Иствуд,"Клинт Иствуд, Хилари Суэнк"
Джанго освобожденный,США, вестерн,Квентин Тарантино,"Джейми Фокс, Кристоф Вальц"
Трасса 60,Канада, фантастика,Боб Гейл,"Джеймс Марсден, Гари Олдман"
В августе 44-го,Россия, боевик,Михаил Пташук,"Евгений Миронов, Владислав Галкин"
Пеле: Рождение легенды,США, биография,Джефф Цимбалист,"Кевин де Паула, Леонардо Лима Карвальо"
Вторая жизнь Уве,Швеция, драма,Ханнес Холм,"Рольф Лассгор, Бахар Парс"
